Codice.comune,Comune,Popolazione.censita.al.1..gennaio,Nati.vivi,Morti,Saldo.naturale,Immigrati.da.altro.comune,Emigrati.per.altro.comune,Saldo.migratorio.interno,Immigrati.dall.estero,Emigrati.per.l.estero,Saldo.migratorio.con.l.estero,Unità.in.più.meno.dovute.a.variazioni.territoriali,Aggiustamento.statistico,Saldo.totale,Popolazione.censita.al.31.dicembre,Numero.di.famiglie.al.31.dicembre,Popolazione.censita.al.31.dicembre.residente.in.famiglia,Numero.medio.di.componenti.per.famiglia.al.31.dicembre,Numero.di.convivenze.al.31.dicembre,Popolazione.censita.al.31.dicembre.residente.in.convivenza,year
7070,Valsavarenche,168,0,3,-3,7,5,2,0,1,-1,0,0,-2,166,106,166,1.6,0,0,2021
7071,Valtournenche,2273,12,17,-5,52,83,-31,18,9,9,0,-48,-75,2198,1184,2181,1.8,4,17,2021
7072,Verrayes,1267,14,8,6,45,28,17,2,2,0,0,4,27,1294,637,1294,2,0,0,2021
7073,Verrès,2590,11,45,-34,107,93,14,21,11,10,0,-2,-12,2578,1276,2557,2,4,21,2021
7074,Villeneuve,1247,8,11,-3,65,49,16,22,9,13,0,5,31,1278,597,1257,2.1,1,21,2021
7001,Allein,211,1,6,-5,12,9,3,0,1,-1,0,0,-3,208,120,208,1.7,0,0,2022
7002,Antey-Saint-André,542,4,10,-6,17,15,2,2,1,1,0,0,-3,539,272,537,2,2,2,2022
7003,Aosta,33223,199,463,-264,1022,930,92,226,107,119,0,-16,-69,33154,16571,32836,2,30,318,2022
7004,Arnad,1249,9,17,-8,23,32,-9,3,5,-2,0,2,-17,1232,590,1220,2.1,1,12,2022
7005,Arvier,833,9,8,1,28,36,-8,2,5,-3,0,-3,-13,820,404,820,2,0,0,2022
7006,Avise,299,1,3,-2,17,13,4,0,0,0,0,0,2,301,135,301,2.2,0,0,2022
7007,Ayas,1359,14,17,-3,41,40,1,8,5,3,0,4,5,1364,666,1364,2,0,0,2022
7008,Aymavilles,2114,17,24,-7,86,108,-22,16,1,15,0,-2,-16,2098,990,2087,2.1,1,11,2022
7009,Bard,108,0,1,-1,3,2,1,0,0,0,0,0,0,108,54,108,2,0,0,2022
7010,Bionaz,218,1,1,0,5,3,2,1,0,1,0,0,3,221,117,221,1.9,0,0,2022
7011,Brissogne,948,8,5,3,43,40,3,12,3,9,0,2,17,965,427,927,2.2,2,38,2022
7012,Brusson,861,5,17,-12,32,29,3,0,1,-1,0,-3,-13,848,427,828,1.9,3,20,2022
7013,Challand-Saint-Anselme,742,3,11,-8,40,27,13,2,0,2,0,-4,3,745,357,742,2.1,1,3,2022
7014,Challand-Saint-Victor,547,1,9,-8,23,16,7,5,0,5,0,0,4,551,288,551,1.9,0,0,2022
7015,Chambave,886,4,11,-7,27,38,-11,8,0,8,0,-1,-11,875,446,875,2,0,0,2022
7016,Chamois,109,2,1,1,8,12,-4,1,0,1,0,0,-2,107,71,107,1.5,0,0,2022
7017,Champdepraz,717,7,4,3,35,20,15,0,0,0,0,-5,13,730,364,730,2,0,0,2022
7018,Champorcher,374,3,5,-2,12,19,-7,4,5,-1,0,3,-7,367,232,367,1.6,0,0,2022
7019,Charvensod,2367,20,24,-4,123,90,33,19,4,15,0,1,45,2412,1139,2409,2.1,1,3,2022
7020,Châtillon,4402,25,74,-49,127,133,-6,27,16,11,0,12,-32,4370,2138,4318,2,7,52,2022
7021,Cogne,1315,4,19,-15,28,12,16,12,8,4,0,-8,-3,1312,707,1305,1.8,1,7,2022
7022,Courmayeur,2615,15,36,-21,112,104,8,24,16,8,0,-2,-7,2608,1371,2576,1.9,5,32,2022
7023,Donnas,2389,11,22,-11,59,62,-3,55,7,48,0,-4,30,2419,1139,2355,2.1,3,64,2022
7024,Doues,502,6,4,2,16,10,6,1,0,1,0,0,9,511,256,501,2,1,10,2022
7025,Emarèse,220,3,1,2,12,9,3,0,0,0,0,4,9,229,108,220,2,1,9,2022
7026,Etroubles,472,0,3,-3,25,18,7,3,2,1,0,1,6,478,252,478,1.9,0,0,2022
7027,Fénis,1788,11,24,-13,68,76,-8,6,2,4,0,1,-16,1772,849,1767,2.1,1,5,2022
7028,Fontainemore,425,2,7,-5,12,15,-3,2,0,2,0,0,-6,419,228,419,1.8,0,0,2022
7029,Gaby,424,2,7,-5,25,20,5,3,2,1,0,-5,-4,420,230,416,1.8,1,4,2022
7030,Gignod,1699,13,19,-6,65,75,-10,4,10,-6,0,2,-20,1679,801,1677,2.1,2,2,2022
7031,Gressan,3390,19,34,-15,136,161,-25,16,5,11,0,-1,-30,3360,1612,3349,2.1,1,11,2022
7032,Gressoney-La-Trinité,332,2,4,-2,3,12,-9,2,0,2,0,0,-9,323,146,323,2.2,0,0,2022
7033,Gressoney-Saint-Jean,799,9,16,-7,7,32,-25,10,1,9,0,-2,-25,774,384,768,2,1,6,2022
7034,Hône,1148,11,25,-14,34,29,5,5,3,2,0,-1,-8,1140,562,1130,2,2,10,2022
7035,Introd,642,4,7,-3,23,19,4,7,1,6,0,-1,6,648,303,641,2.1,1,7,2022
7036,Issime,378,5,6,-1,3,13,-10,0,0,0,0,-1,-12,366,194,366,1.9,0,0,2022
7037,Issogne,1323,5,31,-26,30,28,2,3,2,1,0,1,-22,1301,662,1301,2,0,0,2022
7038,Jovençan,716,5,7,-2,28,39,-11,1,0,1,0,0,-12,704,334,704,2.1,0,0,2022
7039,La Magdeleine,108,0,2,-2,2,9,-7,4,0,4,0,0,-5,103,61,103,1.7,0,0,2022
7040,La Salle,2021,13,20,-7,91,106,-15,25,3,22,0,1,1,2022,1032,2011,1.9,1,11,2022
7041,La Thuile,816,4,8,-4,13,40,-27,6,1,5,0,-1,-27,789,429,784,1.8,2,5,2022
7042,Lillianes,432,2,8,-6,7,8,-1,1,1,0,0,0,-7,425,219,425,1.9,0,0,2022
7043,Montjovet,1766,10,21,-11,36,37,-1,7,4,3,0,0,-9,1757,832,1754,2.1,1,3,2022
7044,Morgex,2058,10,24,-14,90,75,15,21,9,12,0,-12,1,2059,989,2052,2.1,2,7,2022
7045,Nus,2988,21,34,-13,94,108,-14,28,6,22,0,6,1,2989,1407,2983,2.1,3,6,2022
7046,Ollomont,158,2,1,1,14,7,7,4,0,4,0,0,12,170,101,170,1.7,0,0,2022
7047,Oyace,209,0,2,-2,4,3,1,0,0,0,0,1,0,209,104,209,2,0,0,2022
7048,Perloz,458,1,5,-4,10,5,5,2,0,2,0,-2,1,459,232,447,1.9,2,12,2022
7049,Pollein,1507,9,18,-9,43,53,-10,2,2,0,0,-1,-20,1487,660,1487,2.3,0,0,2022
7050,Pontboset,171,1,3,-2,7,5,2,1,0,1,0,0,1,172,93,172,1.8,0,0,2022
7051,Pontey,795,4,5,-1,25,32,-7,3,1,2,0,1,-5,790,362,776,2.1,2,14,2022
7052,Pont-Saint-Martin,3553,21,45,-24,114,111,3,24,18,6,0,3,-12,3541,1679,3538,2.1,1,3,2022
7053,Pré-Saint-Didier,977,10,4,6,40,48,-8,10,4,6,0,0,4,981,493,981,2,0,0,2022
7054,Quart,4089,31,28,3,190,176,14,20,12,8,0,-7,18,4107,1891,4097,2.2,1,10,2022
7055,Rhêmes-Notre-Dame,81,0,0,0,2,3,-1,0,1,-1,0,0,-2,79,45,79,1.8,0,0,2022
7056,Rhêmes-Saint-Georges,167,0,4,-4,3,3,0,0,0,0,0,0,-4,163,80,163,2,0,0,2022
7057,Roisan,1005,7,8,-1,45,42,3,5,7,-2,0,-2,-2,1003,449,995,2.2,1,8,2022
7058,Saint-Christophe,3484,27,33,-6,136,130,6,10,19,-9,0,7,-2,3482,1617,3451,2.1,3,31,2022
7059,Saint-Denis,371,2,5,-3,13,18,-5,0,1,-1,0,0,-9,362,178,362,2,0,0,2022
7060,Saint-Marcel,1312,5,9,-4,47,41,6,5,7,-2,0,-4,-4,1308,594,1308,2.2,0,0,2022
7061,Saint-Nicolas,321,3,3,0,12,7,5,2,1,1,0,0,6,327,166,327,2,0,0,2022
7062,Saint-Oyen,198,2,4,-2,10,7,3,1,0,1,0,0,2,200,94,183,1.9,1,17,2022
7063,Saint-Pierre,3240,27,32,-5,166,149,17,16,11,5,0,3,20,3260,1561,3244,2.1,3,16,2022
7064,Saint-Rhémy-en-Bosses,330,2,4,-2,14,12,2,3,0,3,0,1,4,334,180,304,1.7,3,30,2022
7065,Saint-Vincent,4451,24,60,-36,191,174,17,45,31,14,0,13,8,4459,2384,4447,1.9,1,12,2022
7066,Sarre,4755,37,42,-5,226,192,34,50,13,37,0,5,71,4826,2274,4796,2.1,5,30,2022
7067,Torgnon,556,2,7,-5,12,10,2,3,0,3,0,0,0,556,287,556,1.9,0,0,2022
7068,Valgrisenche,192,1,3,-2,6,4,2,0,0,0,0,-1,-1,191,111,191,1.7,0,0,2022
7069,Valpelline,591,5,5,0,25,27,-2,7,0,7,0,-1,4,595,302,593,2,1,2,2022
7070,Valsavarenche,166,1,6,-5,2,2,0,0,0,0,0,0,-5,161,105,161,1.5,0,0,2022
7071,Valtournenche,2198,13,24,-11,50,74,-24,18,2,16,0,4,-15,2183,1184,2170,1.8,4,13,2022
7072,Verrayes,1294,9,11,-2,37,33,4,2,4,-2,0,0,0,1294,630,1294,2.1,0,0,2022
7073,Verrès,2578,10,40,-30,91,103,-12,28,11,17,0,-12,-37,2541,1264,2525,2,3,16,2022
7074,Villeneuve,1278,5,19,-14,47,58,-11,24,9,15,0,0,-10,1268,602,1247,2.1,1,21,2022
7001,Allein,208,0,1,-1,10,9,1,2,1,1,0,0,1,209,123,209,1.7,0,0,2023
7002,Antey-Saint-André,539,4,5,-1,36,9,27,0,0,0,0,0,26,565,284,556,2,2,9,2023
7003,Aosta,33154,185,425,-240,1050,937,113,259,126,133,0,-62,-56,33098,16580,32761,2,31,337,2023
7004,Arnad,1232,5,19,-14,38,31,7,11,2,9,0,-2,0,1232,600,1220,2,1,12,2023
7005,Arvier,820,2,10,-8,34,44,-10,4,2,2,0,2,-14,806,408,806,2,0,0,2023
7006,Avise,301,2,3,-1,10,9,1,2,0,2,0,0,2,303,138,303,2.2,0,0,2023
7007,Ayas,1364,8,13,-5,33,25,8,9,5,4,0,-2,5,1369,667,1369,2.1,0,0,2023
7008,Aymavilles,2098,10,20,-10,86,75,11,11,10,1,0,-4,-2,2096,981,2084,2.1,1,12,2023
7009,Bard,108,2,1,1,3,11,-8,1,0,1,0,0,-6,102,55,102,1.9,0,0,2023
7010,Bionaz,221,2,3,-1,5,2,3,0,1,-1,0,0,1,222,117,222,1.9,0,0,2023
7011,Brissogne,965,4,7,-3,32,35,-3,3,9,-6,0,0,-12,953,425,914,2.2,2,39,2023
7012,Brusson,848,1,9,-8,23,51,-28,1,0,1,0,1,-34,814,417,794,1.9,3,20,2023
7013,Challand-Saint-Anselme,745,5,13,-8,20,31,-11,15,0,15,0,-1,-5,740,358,737,2.1,1,3,2023
7014,Challand-Saint-Victor,551,5,8,-3,22,27,-5,2,1,1,0,2,-5,546,284,545,1.9,1,1,2023
7015,Chambave,875,3,16,-13,33,25,8,4,6,-2,0,1,-6,869,441,869,2,0,0,2023
7016,Chamois,107,1,0,1,10,9,1,0,1,-1,0,0,1,108,70,108,1.5,0,0,2023
7017,Champdepraz,730,2,8,-6,22,22,0,2,0,2,0,0,-4,726,365,726,2,0,0,2023
7018,Champorcher,367,2,6,-4,13,9,4,5,3,2,0,0,2,369,231,369,1.6,0,0,2023
7019,Charvensod,2412,16,17,-1,99,100,-1,17,8,9,0,4,11,2423,1137,2420,2.1,1,3,2023
7020,Châtillon,4370,26,63,-37,145,163,-18,54,9,45,0,-14,-24,4346,2132,4281,2,7,65,2023
7021,Cogne,1312,5,21,-16,36,27,9,13,1,12,0,-7,-2,1310,711,1305,1.8,1,5,2023
7022,Courmayeur,2608,18,18,0,100,106,-6,19,12,7,0,-7,-6,2602,1371,2563,1.9,5,39,2023
7023,Donnas,2419,9,41,-32,62,75,-13,30,9,21,0,-4,-28,2391,1136,2328,2,3,63,2023
7024,Doues,511,1,6,-5,20,32,-12,10,1,9,0,2,-6,505,254,495,1.9,1,10,2023
7025,Emarèse,229,3,1,2,11,16,-5,0,2,-2,0,1,-4,225,110,217,2,1,8,2023
7026,Etroubles,478,3,2,1,28,20,8,6,12,-6,0,0,3,481,261,480,1.8,1,1,2023
7027,Fénis,1772,13,22,-9,69,61,8,8,12,-4,0,2,-3,1769,863,1764,2,1,5,2023
7028,Fontainemore,419,4,1,3,10,9,1,9,0,9,0,0,13,432,235,432,1.8,0,0,2023
7029,Gaby,420,2,7,-5,12,8,4,2,2,0,0,-1,-2,418,232,414,1.8,1,4,2023
7030,Gignod,1679,6,14,-8,76,66,10,15,7,8,0,-2,8,1687,811,1687,2.1,0,0,2023
7031,Gressan,3360,24,32,-8,127,133,-6,32,8,24,0,5,15,3375,1632,3361,2.1,1,14,2023
7032,Gressoney-La-Trinité,323,4,5,-1,6,10,-4,5,1,4,0,-2,-3,320,141,320,2.3,0,0,2023
7033,Gressoney-Saint-Jean,774,3,6,-3,22,37,-15,9,2,7,0,-3,-14,760,382,754,2,2,6,2023
7034,Hône,1140,10,13,-3,44,25,19,9,7,2,0,1,19,1159,567,1145,2,2,14,2023
7035,Introd,648,2,4,-2,16,18,-2,11,2,9,0,0,5,653,309,646,2.1,1,7,2023
7036,Issime,366,4,4,0,19,12,7,9,0,9,0,-1,15,381,200,381,1.9,0,0,2023
7037,Issogne,1301,5,31,-26,40,30,10,9,3,6,0,-1,-11,1290,652,1290,2,0,0,2023
7038,Jovençan,704,4,4,0,47,39,8,7,5,2,0,0,10,714,342,714,2.1,0,0,2023
7039,La Magdeleine,103,0,1,-1,6,5,1,0,4,-4,0,0,-4,99,60,99,1.7,0,0,2023
7040,La Salle,2022,7,17,-10,99,77,22,15,16,-1,0,-1,10,2032,1045,2021,1.9,1,11,2023
7041,La Thuile,789,6,5,1,16,30,-14,3,3,0,0,0,-13,776,427,774,1.8,1,2,2023
7042,Lillianes,425,4,4,0,8,24,-16,3,0,3,0,0,-13,412,213,412,1.9,0,0,2023
7043,Montjovet,1757,10,19,-9,48,53,-5,9,1,8,0,-3,-9,1748,839,1746,2.1,2,2,2023
7044,Morgex,2059,16,21,-5,69,72,-3,16,9,7,0,-1,-2,2057,993,2050,2.1,2,7,2023
7045,Nus,2989,20,25,-5,78,119,-41,17,7,10,0,-3,-39,2950,1385,2945,2.1,2,5,2023
7046,Ollomont,170,0,1,-1,7,13,-6,2,0,2,0,0,-5,165,98,165,1.7,0,0,2023
7047,Oyace,209,2,3,-1,2,7,-5,0,1,-1,0,0,-7,202,103,202,2,0,0,2023
7048,Perloz,459,3,6,-3,15,19,-4,0,1,-1,0,0,-8,451,228,442,1.9,2,9,2023
7049,Pollein,1487,8,7,1,66,55,11,7,11,-4,0,6,14,1501,671,1500,2.2,1,1,2023
7050,Pontboset,172,0,2,-2,9,8,1,0,0,0,0,-1,-2,170,93,170,1.8,0,0,2023
7051,Pontey,790,8,17,-9,30,36,-6,5,2,3,0,0,-12,778,364,765,2.1,2,13,2023
7052,Pont-Saint-Martin,3541,23,36,-13,123,128,-5,37,25,12,0,6,0,3541,1682,3539,2.1,1,2,2023
7053,Pré-Saint-Didier,981,4,8,-4,30,50,-20,7,5,2,0,-4,-26,955,485,955,2,0,0,2023
7054,Quart,4107,33,32,1,172,160,12,18,8,10,0,-3,20,4127,1910,4118,2.2,1,9,2023
7055,Rhêmes-Notre-Dame,79,0,1,-1,3,6,-3,1,0,1,0,0,-3,76,42,76,1.8,0,0,2023
7056,Rhêmes-Saint-Georges,163,0,3,-3,8,5,3,0,0,0,0,0,0,163,84,163,1.9,0,0,2023
7057,Roisan,1003,9,7,2,50,40,10,1,0,1,0,-2,11,1014,450,1004,2.2,1,10,2023
7058,Saint-Christophe,3482,26,31,-5,136,119,17,12,13,-1,0,-25,-14,3468,1630,3453,2.1,2,15,2023
7059,Saint-Denis,362,1,3,-2,16,11,5,4,1,3,0,0,6,368,179,368,2.1,0,0,2023
7060,Saint-Marcel,1308,7,11,-4,78,56,22,5,1,4,0,1,23,1331,611,1331,2.2,0,0,2023
7061,Saint-Nicolas,327,3,3,0,21,16,5,4,2,2,0,0,7,334,168,334,2,0,0,2023
7062,Saint-Oyen,200,0,2,-2,3,7,-4,0,0,0,0,0,-6,194,91,178,2,1,16,2023
7063,Saint-Pierre,3260,17,28,-11,145,121,24,28,10,18,0,1,32,3292,1586,3275,2.1,3,17,2023
7064,Saint-Rhémy-en-Bosses,334,2,3,-1,17,24,-7,6,1,5,0,0,-3,331,176,299,1.7,3,32,2023
7065,Saint-Vincent,4459,27,39,-12,158,169,-11,32,19,13,0,7,-3,4456,2414,4447,1.8,1,9,2023
7066,Sarre,4826,32,43,-11,213,258,-45,38,20,18,0,-1,-39,4787,2269,4762,2.1,5,25,2023
7067,Torgnon,556,3,7,-4,21,13,8,1,4,-3,0,0,1,557,291,557,1.9,0,0,2023
7068,Valgrisenche,191,1,3,-2,4,6,-2,1,0,1,0,-2,-5,186,111,186,1.7,0,0,2023
7069,Valpelline,595,3,10,-7,39,32,7,2,6,-4,0,-3,-7,588,302,586,1.9,1,2,2023
7070,Valsavarenche,161,0,2,-2,3,5,-2,1,4,-3,0,0,-7,154,101,154,1.5,0,0,2023
7071,Valtournenche,2183,13,25,-12,62,74,-12,25,10,15,0,5,-4,2179,1191,2168,1.8,4,11,2023
7072,Verrayes,1294,7,13,-6,38,42,-4,5,6,-1,0,0,-11,1283,623,1283,2.1,0,0,2023
7073,Verrès,2541,12,45,-33,90,102,-12,24,5,19,0,-7,-33,2508,1250,2494,2,3,14,2023
7074,Villeneuve,1268,6,11,-5,49,66,-17,48,8,40,0,-10,8,1276,593,1232,2.1,1,44,2023
7001,Allein,209,1,3,-2,4,4,0,1,3,-2,0,0,-4,205,122,205,1.7,0,0,2024
7002,Antey-Saint-André,565,1,9,-8,18,24,-6,2,0,2,0,0,-12,553,283,545,1.9,2,8,2024
7003,Aosta,33098,165,431,-266,1071,864,207,218,110,108,0,-51,-2,33096,16677,32764,2,28,332,2024
7004,Arnad,1232,7,8,-1,20,38,-18,19,3,16,0,2,-1,1231,598,1219,2,1,12,2024
7005,Arvier,806,3,15,-12,54,28,26,6,4,2,0,-1,15,821,414,821,2,0,0,2024
7006,Avise,303,1,6,-5,13,8,5,0,0,0,0,-2,-2,301,139,301,2.2,0,0,2024
7007,Ayas,1369,6,17,-11,43,30,13,4,16,-12,0,-1,-11,1358,673,1358,2,0,0,2024
7008,Aymavilles,2096,4,33,-29,77,56,21,10,0,10,0,0,2,2098,985,2088,2.1,1,10,2024
7009,Bard,102,0,1,-1,6,6,0,1,0,1,0,0,0,102,55,102,1.9,0,0,2024
7010,Bionaz,222,1,3,-2,3,5,-2,0,1,-1,0,0,-5,217,112,217,1.9,0,0,2024
7011,Brissogne,953,4,9,-5,55,28,27,1,4,-3,0,0,19,972,425,930,2.2,2,42,2024
7012,Brusson,814,8,21,-13,47,21,26,0,9,-9,0,0,4,818,421,797,1.9,3,21,2024
7013,Challand-Saint-Anselme,740,4,6,-2,25,21,4,5,3,2,0,0,4,744,364,742,2,1,2,2024
7014,Challand-Saint-Victor,546,4,5,-1,22,13,9,7,1,6,0,0,14,560,292,556,1.9,1,4,2024
7015,Chambave,869,6,10,-4,36,22,14,11,8,3,0,-2,11,880,451,880,2,0,0,2024
7016,Chamois,108,0,4,-4,10,5,5,3,0,3,0,0,4,112,70,112,1.6,0,0,2024
7017,Champdepraz,726,7,4,3,18,36,-18,6,3,3,0,1,-11,715,359,715,2,0,0,2024
7018,Champorcher,369,2,5,-3,18,20,-2,9,3,6,0,-1,0,369,225,366,1.6,1,3,2024
7019,Charvensod,2423,9,22,-13,99,112,-13,10,17,-7,0,5,-28,2395,1132,2391,2.1,1,4,2024
7020,Châtillon,4346,14,53,-39,147,175,-28,48,17,31,0,-7,-43,4303,2148,4239,2,7,64,2024
7021,Cogne,1310,7,13,-6,45,34,11,17,8,9,0,3,17,1327,731,1319,1.8,1,8,2024
7022,Courmayeur,2602,12,24,-12,76,133,-57,14,9,5,0,-17,-81,2521,1355,2496,1.8,5,25,2024
7023,Donnas,2391,14,42,-28,79,52,27,22,21,1,0,1,1,2392,1134,2321,2,3,71,2024
7024,Doues,505,5,8,-3,22,15,7,5,0,5,0,0,9,514,255,505,2,1,9,2024
7025,Emarèse,225,0,1,-1,13,5,8,1,0,1,0,0,8,233,118,228,1.9,1,5,2024
7026,Etroubles,481,5,6,-1,23,28,-5,3,2,1,0,0,-5,476,255,472,1.9,2,4,2024
7027,Fénis,1769,13,18,-5,69,40,29,5,6,-1,0,-3,20,1789,875,1782,2,1,7,2024
7028,Fontainemore,432,1,8,-7,15,19,-4,25,1,24,0,2,15,447,258,447,1.7,0,0,2024
7029,Gaby,418,1,7,-6,8,14,-6,1,2,-1,0,-2,-15,403,229,397,1.7,1,6,2024
7030,Gignod,1687,6,14,-8,62,55,7,10,8,2,0,7,8,1695,813,1694,2.1,1,1,2024
7031,Gressan,3375,16,38,-22,116,142,-26,17,13,4,0,-7,-51,3324,1612,3308,2.1,1,16,2024
7032,Gressoney-La-Trinité,320,3,6,-3,9,5,4,2,1,1,0,0,2,322,141,322,2.3,0,0,2024
7033,Gressoney-Saint-Jean,760,5,6,-1,31,30,1,11,4,7,0,0,7,767,385,762,2,2,5,2024
7034,Hône,1159,9,12,-3,32,40,-8,10,2,8,0,2,-1,1158,564,1143,2,2,15,2024
7035,Introd,653,4,13,-9,14,24,-10,3,6,-3,0,0,-22,631,298,625,2.1,1,6,2024
7036,Issime,381,2,5,-3,10,14,-4,3,2,1,0,1,-5,376,201,376,1.9,0,0,2024
7037,Issogne,1290,8,19,-11,31,41,-10,9,0,9,0,-3,-15,1275,645,1275,2,0,0,2024
7038,Jovençan,714,5,6,-1,38,31,7,3,9,-6,0,0,0,714,340,714,2.1,0,0,2024
7039,La Magdeleine,99,1,1,0,8,3,5,3,0,3,0,0,8,107,69,107,1.6,0,0,2024
7040,La Salle,2032,19,17,2,101,85,16,17,23,-6,0,-1,11,2043,1063,2032,1.9,1,11,2024
7041,La Thuile,776,5,7,-2,27,32,-5,8,0,8,0,-3,-2,774,425,773,1.8,1,1,2024
7042,Lillianes,412,5,7,-2,14,7,7,2,0,2,0,0,7,419,218,419,1.9,0,0,2024
7043,Montjovet,1748,6,24,-18,74,61,13,6,5,1,0,-2,-6,1742,845,1740,2.1,1,2,2024
7044,Morgex,2057,14,26,-12,86,84,2,15,4,11,0,-1,0,2057,998,2048,2.1,2,9,2024
7045,Nus,2950,22,26,-4,111,118,-7,12,12,0,0,-8,-19,2931,1384,2925,2.1,2,6,2024
7046,Ollomont,165,1,2,-1,8,4,4,1,1,0,0,0,3,168,100,168,1.7,0,0,2024
7047,Oyace,202,0,1,-1,5,6,-1,1,0,1,0,0,-1,201,104,201,1.9,0,0,2024
7048,Perloz,451,2,4,-2,21,20,1,1,1,0,0,-2,-3,448,226,437,1.9,2,11,2024
7049,Pollein,1501,5,16,-11,59,91,-32,6,12,-6,0,0,-49,1452,653,1452,2.2,0,0,2024
7050,Pontboset,170,0,0,0,5,1,4,2,0,2,0,0,6,176,96,176,1.8,0,0,2024
7051,Pontey,778,3,14,-11,35,36,-1,14,3,11,0,1,0,778,360,762,2.1,2,16,2024
7052,Pont-Saint-Martin,3541,18,45,-27,102,116,-14,37,19,18,0,8,-15,3526,1681,3523,2.1,1,3,2024
7053,Pré-Saint-Didier,955,2,11,-9,41,33,8,9,2,7,0,2,8,963,493,963,2,0,0,2024
7054,Quart,4127,23,29,-6,188,141,47,15,8,7,0,-8,40,4167,1933,4159,2.2,1,8,2024
7055,Rhêmes-Notre-Dame,76,0,0,0,3,3,0,0,0,0,0,0,0,76,44,76,1.7,0,0,2024
7056,Rhêmes-Saint-Georges,163,1,0,1,5,1,4,0,0,0,0,0,5,168,86,168,2,0,0,2024
7057,Roisan,1014,4,7,-3,29,31,-2,3,2,1,0,-3,-7,1007,451,996,2.2,1,11,2024
7058,Saint-Christophe,3468,15,37,-22,120,149,-29,11,13,-2,0,-3,-56,3412,1614,3393,2.1,2,19,2024
7059,Saint-Denis,368,3,5,-2,12,16,-4,3,0,3,0,0,-3,365,182,365,2,0,0,2024
7060,Saint-Marcel,1331,6,16,-10,36,49,-13,4,12,-8,0,-4,-35,1296,606,1292,2.1,1,4,2024
7061,Saint-Nicolas,334,3,3,0,10,15,-5,0,2,-2,0,-3,-10,324,164,324,2,0,0,2024
7062,Saint-Oyen,194,2,2,0,6,13,-7,5,1,4,0,0,-3,191,89,175,2,1,16,2024
7063,Saint-Pierre,3292,18,26,-8,121,164,-43,14,14,0,0,-3,-54,3238,1569,3221,2.1,3,17,2024
7064,Saint-Rhémy-en-Bosses,331,0,2,-2,17,21,-4,13,1,12,0,1,7,338,186,313,1.7,3,25,2024
7065,Saint-Vincent,4456,22,48,-26,180,179,1,36,28,8,0,-22,-39,4417,2361,4386,1.9,3,31,2024
7066,Sarre,4787,20,47,-27,202,205,-3,36,19,17,0,1,-12,4775,2281,4747,2.1,4,28,2024
7067,Torgnon,557,1,3,-2,27,19,8,4,2,2,0,0,8,565,299,565,1.9,0,0,2024
7068,Valgrisenche,186,2,4,-2,5,5,0,5,0,5,0,-1,2,188,107,188,1.8,0,0,2024
7069,Valpelline,588,4,9,-5,30,19,11,3,1,2,0,-4,4,592,306,589,1.9,1,3,2024
7070,Valsavarenche,154,0,1,-1,5,6,-1,1,1,0,0,0,-2,152,99,152,1.5,0,0,2024
7071,Valtournenche,2179,17,13,4,72,67,5,32,21,11,0,-10,10,2189,1202,2177,1.8,4,12,2024
7072,Verrayes,1283,8,19,-11,32,53,-21,8,3,5,0,-3,-30,1253,613,1253,2,0,0,2024
7073,Verrès,2508,16,32,-16,132,87,45,24,12,12,0,-1,40,2548,1254,2531,2,3,17,2024
7074,Villeneuve,1276,8,14,-6,60,48,12,21,4,17,0,-27,-4,1272,593,1239,2.1,1,33,2024
